09.25.2022 - 08:25: 1.0 / 2.0 = 0.5
09.25.2022 - 08:31: 8.0 / 8.0 = 1.0
09.25.2022 - 10:11: 5.0 / 5.0 = 1.0
09.25.2022 - 10:29: (5 + 5j) * (5 + 5j) = 0
09.25.2022 - 10:30: (5 + 5j) * (5 + 5j) = 50j
09.25.2022 - 10:31: (5 + 5j) * (5 + 5j) = 0
09.25.2022 - 10:34: (5 + 5j) * (5 + 5j) = 50j
09.25.2022 - 10:36: (5 + 5j) * (5 + 55j) = (-250+300j)
09.25.2022 - 10:37: (5 + 5j) + (5 + 5j) = (10+10j)
09.25.2022 - 10:38: (5 + 5j) + (5 + 5j) = 0
09.25.2022 - 10:43: (5 + 5j) + (5 + 5j) = 0
09.25.2022 - 10:44: (5 + 5j) + (5 + 5j) = (10+10j)
09.25.2022 - 10:49: 5.0 / 0.0 = Деление на 0 невозможно!
09.25.2022 - 11:03: (5 + 5j) + (5 + 5j) = 0
09.25.2022 - 11:03: (5 + 5j) * (5 + 5j) = 50j
09.25.2022 - 11:05: (5 + 5j) + (5 + 5j) = (10+10j)
09.25.2022 - 11:09: 	5.0 * 5.0 	= 25.0
09.25.2022 - 11:10: 	(5 + 5j) * (5 + 5j) 	= 50j
09.25.2022 - 11:18: (5 + 5j) + (5 + 5j) = (10+10j)
09.25.2022 - 11:19: 5.0 * 5.0 = 25.0
09.25.2022 - 11:21: (5 + 5j) * (5 + 5j) = 50j
09.25.2022 - 11:21: 5.0 * 5.0 = 25.0
09.25.2022 - 11:22: (5 + 5j) * (5 + 5j) = 50j
09.25.2022 - 12:13: (5 + 5j) * (5 + 5j) = 50j
09.25.2022 - 12:14: 5.0 * 5.0 = 25.0
